Name,ScripCode,
MARUTI,10999,
LIQUIDBEES,11006,
INFOBEAN,11027,
SANGINITA,11032,
DCMNVL,11039,
SATIA,11045,
SIRCA,11050,
SECURKLOUD,11058,
NATHBIOGEN,11065,
AGRITECH,11072,
LIBAS,11082,
CREATIVE,11155,
HARSHA,11162,
COFFEEDAY,11165,
IDFCFIRSTB,11184,
AXISILVER,11193,
INDIGO,11195,
SHK,11212,
VARDHACRLC,11220,
UCOBANK,11223,
SUVEN,11233,
JSL,11236,
NSIL,11239,
HDFCGROWTH,11241,
HDFCQUAL,11255,
HDFCVALUE,11260,
IGL,11262,
TVSELECT,11265,
DREDGECORP,11271,
TVTODAY,11275,
UPL,11287,
UNIENTER,11293,
LUXIND,11301,
BALAXI,11309,
LICNETFN50,11319,
MUKANDLTD,11325,
AFFLE,11343,
PETRONET,11351,
PTC,11355,
DHANBANK,11359,
VAIBHAVGBL,11364,
TTKHLTCARE,11369,
BIOCON,11373,
MAHABANK,11377,
UMANGDAIRY,11387,
ZOTA,11394,
SALZERELEC,11399,
POONAWALLA,11403,
XPROINDIA,11407,
RKFORGE,11411,
DATAMATICS,11423,
NDTV,11427,
SPANDANA,11435,
BANKBEES,11439,
LICNETFSEN,11441,
PILANIINVS,11445,
CCL,11452,
KOTAKNV20,11457,
JPASSOCIAT,11460,
EXCELINDUS,11471,
LT,11483,
APARINDS,11491,
SECURCRED,11520,
NIITLTD,11522,
EMIL,11530,
ULTRACEMCO,11532,
TCS,11536,
HDFCMOMENT,11538,
COFORGE,11543,
HDFCLOWVOL,11547,
TEXINFRA,11549,
PPLPHARMA,11571,
WESTLIFE,11580,
TRACXN,11582,
HDFCNIFTY,11591,
HDFCSENSEX,11593,
LINCOLN,11596,
GUFICBIO,11606,
ASTRAMICRO,11618,
WELENT,11626,
NARMADA,11627,
NTPC,11630,
KOTARISUG,11647,
LALPATHLAB,11654,
DWARKESH,11667,
INDOCO,11677,
SUPRAJIT,11689,
PATELENG,11699,
ALKEM,11703,
XCHANGING,11705,
JSWSTEEL,11723,
CONSOFINVT,11731,
JINDALPHOT,11743,
JPPOWER,11763,
GOKEX,11778,
ACEINTEG,11779,
